CATEGORY,FIELD_NAME,WOOCOMMERCE_META_KEY,DATA_TYPE,API_ENDPOINT,PHP_FUNCTION,REQUIRED,DESCRIPTION,EXAMPLE_VALUE,FILTER_TYPE,DISPLAY_LOCATION,ENVIRONMENT_VARIABLE
BASIC CONFIGURATION,Base URL,N/A,string,wp-json/wc/v3/,N/A,Yes,WooCommerce REST API base URL,https://site.com/wp-json/wc/v3/,none,API Configuration,VITE_WP_URL
BASIC CONFIGURATION,Consumer Key,N/A,string,Authentication,Basic Auth,Yes,WooCommerce API consumer key,ck_xxxxxxxxxxxxx,none,API Configuration,WC_CONSUMER_KEY
BASIC CONFIGURATION,Consumer Secret,N/A,string,Authentication,Basic Auth,Yes,WooCommerce API consumer secret,cs_xxxxxxxxxxxxx,none,API Configuration,WC_CONSUMER_SECRET
VEHICLE IDENTITY,Product ID,_product_id,number,products/{id},get_the_ID(),Yes,Unique WooCommerce product identifier,12345,none,Vehicle Card,N/A
VEHICLE IDENTITY,SKU,sku,string,products,product.sku,No,Product SKU identifier,VEH001,none,Vehicle Card,N/A
VEHICLE IDENTITY,Title,post_title,string,products,get_the_title(),Yes,Vehicle display title,2023 BMW X5,none,Vehicle Card,N/A
VEHICLE IDENTITY,Vehicle Year,year,number,products,get_field('year'),Yes,Manufacturing year,2023,dropdown,Vehicle Card + Filters,N/A
VEHICLE IDENTITY,Vehicle Year Alt,vehicle_year,number,products,get_field('vehicle_year'),Yes,Alternative year field,2023,dropdown,Vehicle Card + Filters,N/A
VEHICLE IDENTITY,Vehicle Make,make,string,products,get_field('make'),Yes,Vehicle manufacturer,BMW,checkbox,Vehicle Card + Filters,N/A
VEHICLE IDENTITY,Vehicle Make Alt,vehicle_make,string,products,get_field('vehicle_make'),Yes,Alternative make field,BMW,checkbox,Vehicle Card + Filters,N/A
VEHICLE IDENTITY,Vehicle Model,model,string,products,get_field('model'),Yes,Vehicle model name,X5,checkbox,Vehicle Card + Filters,N/A
VEHICLE IDENTITY,Vehicle Model Alt,vehicle_model,string,products,get_field('vehicle_model'),Yes,Alternative model field,X5,checkbox,Vehicle Card + Filters,N/A
VEHICLE IDENTITY,Vehicle Trim,trim,string,products,get_field('trim'),No,Trim level/package,xDrive40i,checkbox,Vehicle Card + Filters,N/A
VEHICLE IDENTITY,Vehicle Trim Alt,vehicle_trim,string,products,get_field('vehicle_trim'),No,Alternative trim field,xDrive40i,checkbox,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Mileage,mileage,number,products,get_field('mileage'),Yes,Current odometer reading,25000,range,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Mileage Alt,vehicle_mileage,number,products,get_field('vehicle_mileage'),Yes,Alternative mileage field,25000,range,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Transmission,transmission,string,products,get_field('transmission'),Yes,Transmission type,Automatic,checkbox,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Transmission Alt,vehicle_transmission,string,products,get_field('vehicle_transmission'),Yes,Alternative transmission field,Automatic,checkbox,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Transmission Speed,transmission_speed,string,products,get_field('transmission_speed'),No,Transmission speed count,8-Speed,none,Vehicle Card,N/A
TECHNICAL SPECS,Transmission Speed Alt,vehicle_transmission_speed,string,products,get_field('vehicle_transmission_speed'),No,Alternative transmission speed,8-Speed,none,Vehicle Card,N/A
TECHNICAL SPECS,Doors,doors,number,products,get_field('doors'),Yes,Number of doors,4,none,Vehicle Card,N/A
TECHNICAL SPECS,Doors Alt,vehicle_doors,number,products,get_field('vehicle_doors'),Yes,Alternative doors field,4,none,Vehicle Card,N/A
TECHNICAL SPECS,Engine Cylinders,engine_cylinders,number,products,get_field('engine_cylinders'),No,Engine cylinder count,6,checkbox,Filters,N/A
TECHNICAL SPECS,Engine Cylinders Alt,vehicle_engine_cylinders,number,products,get_field('vehicle_engine_cylinders'),No,Alternative cylinders field,6,checkbox,Filters,N/A
TECHNICAL SPECS,Fuel Type,fuel_type,string,products,get_field('fuel_type'),No,Fuel type,Gasoline,checkbox,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Fuel Type Alt,vehicle_fuel_type,string,products,get_field('vehicle_fuel_type'),No,Alternative fuel type,Gasoline,checkbox,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Drivetrain,drivetrain,string,products,get_field('drivetrain'),No,Drive type,AWD,checkbox,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Drivetrain Alt,drive_type,string,products,get_field('drive_type'),No,Alternative drivetrain field,AWD,checkbox,Vehicle Card + Filters,N/A
TECHNICAL SPECS,Body Style,body_style,string,products,get_field('body_style'),No,Body style,SUV,checkbox,Filters,N/A
TECHNICAL SPECS,Body Style Alt,vehicle_body_style,string,products,get_field('vehicle_body_style'),No,Alternative body style,SUV,checkbox,Filters,N/A
TECHNICAL SPECS,Highway MPG,highway_mpg,number,products,get_field('highway_mpg'),No,Highway miles per gallon,28,none,Individual Product Page,N/A
TECHNICAL SPECS,Highway MPG Alt,vehicle_highway_mpg,number,products,get_field('vehicle_highway_mpg'),No,Alternative highway MPG,28,none,Individual Product Page,N/A
TECHNICAL SPECS,Engine,engine,string,products,get_field('engine'),No,Engine specification,3.0L V6,none,Individual Product Page,N/A
TECHNICAL SPECS,Engine Alt,vehicle_engine,string,products,get_field('vehicle_engine'),No,Alternative engine field,3.0L V6,none,Individual Product Page,N/A
VISUAL & MEDIA,Product Images,_product_image_gallery,array,products,get_field('_product_image_gallery'),Yes,Array of vehicle image URLs,image-450x300.jpg,none,Vehicle Card,N/A
VISUAL & MEDIA,Featured Image,featured_image,string,products,get_the_post_thumbnail_url(),Yes,Main vehicle photo URL,image.jpg,none,Vehicle Card,N/A
